action,context,order,states,top1,top3,top5,top10,mean_rank,mrr,draft_phase,order_bucket,dominant_role,acting_team_id,opponent_team_id
ban,order,1.0,65,0.5230769230769231,0.6615384615384615,0.8307692307692308,0.8769230769230769,5.030769230769231,0.6332318888840628,,,,,
ban,order,2.0,65,0.24615384615384617,0.49230769230769234,0.6307692307692307,0.7846153846153846,6.676923076923077,0.41496750672655647,,,,,
ban,order,3.0,65,0.23076923076923078,0.5230769230769231,0.6615384615384615,0.7846153846153846,5.876923076923077,0.42633451275591744,,,,,
ban,order,4.0,65,0.26153846153846155,0.5230769230769231,0.6307692307692307,0.8,6.538461538461538,0.43446402357928915,,,,,
ban,order,5.0,65,0.16923076923076924,0.36923076923076925,0.46153846153846156,0.7230769230769231,7.923076923076923,0.33389422543268693,,,,,
ban,order,6.0,65,0.07692307692307693,0.4,0.5076923076923077,0.7384615384615385,11.092307692307692,0.285737890259455,,,,,
ban,order,7.0,65,0.16923076923076924,0.38461538461538464,0.6307692307692307,0.8153846153846154,6.969230769230769,0.3657641831797554,,,,,
ban,order,10.0,65,0.1076923076923077,0.3076923076923077,0.4,0.6307692307692307,14.523076923076923,0.2636832818491066,,,,,
ban,order,11.0,65,0.07692307692307693,0.23076923076923078,0.36923076923076925,0.6307692307692307,14.6,0.23500373078099318,,,,,
ban,order,12.0,65,0.12307692307692308,0.26153846153846155,0.35384615384615387,0.6615384615384615,9.63076923076923,0.2676952541530705,,,,,
ban,order,19.0,65,0.16923076923076924,0.2923076923076923,0.4461538461538462,0.676923076923077,11.569230769230769,0.3026690438327914,,,,,
ban,order,20.0,65,0.16923076923076924,0.36923076923076925,0.46153846153846156,0.7076923076923077,9.338461538461539,0.3261342559335593,,,,,
ban,order,21.0,65,0.15384615384615385,0.27692307692307694,0.4153846153846154,0.5692307692307692,15.153846153846153,0.28237876581966015,,,,,
ban,order,22.0,65,0.2153846153846154,0.5076923076923077,0.6153846153846154,0.7846153846153846,7.446153846153846,0.3955429214659984,,,,,
ban,phase,,455,0.23956043956043957,0.47912087912087914,0.621978021978022,0.789010989010989,7.158241758241759,0.41348489011681766,1.0,,,,
ban,phase,,195,0.10256410256410256,0.26666666666666666,0.37435897435897436,0.6410256410256411,12.917948717948718,0.2554607555943901,2.0,,,,
ban,phase,,260,0.17692307692307693,0.36153846153846153,0.4846153846153846,0.6846153846153846,10.876923076923077,0.32668124676300225,3.0,,,,
ban,order_bucket,,455,0.23956043956043957,0.47912087912087914,0.621978021978022,0.789010989010989,7.158241758241759,0.41348489011681766,,ban_phase1,,,
ban,order_bucket,,195,0.10256410256410256,0.26666666666666666,0.37435897435897436,0.6410256410256411,12.917948717948718,0.2554607555943901,,ban_phase2,,,
ban,order_bucket,,260,0.17692307692307693,0.36153846153846153,0.4846153846153846,0.6846153846153846,10.876923076923077,0.32668124676300225,,ban_phase3,,,
ban,role,,169,0.21301775147928995,0.44970414201183434,0.5621301775147929,0.7159763313609467,9.905325443786982,0.380150266357746,,,pos1,,
ban,role,,252,0.21031746031746032,0.4246031746031746,0.5119047619047619,0.7301587301587301,8.23015873015873,0.371622709695908,,,pos2,,
ban,role,,232,0.14655172413793102,0.375,0.5775862068965517,0.8146551724137931,8.564655172413794,0.3316074849735313,,,pos3,,
ban,role,,153,0.20261437908496732,0.35947712418300654,0.49673202614379086,0.6797385620915033,8.882352941176471,0.3479478541037056,,,pos4,,
ban,role,,104,0.20192307692307693,0.375,0.46153846153846156,0.6153846153846154,14.51923076923077,0.33484923512389025,,,pos5,,
ban,team,,21,0.09523809523809523,0.19047619047619047,0.47619047619047616,0.7142857142857143,10.142857142857142,0.24297725851610558,,,,10020555.0,
