hero_id,hero_name,pos1_prob,pos2_prob,pos3_prob,pos4_prob,pos5_prob,core_prob,support_prob,flex_score,total_role_games,role_source
15,Razor,0.4621212121212121,0.2777777777777778,0.255050505050505,0.0025252525252525255,0.0025252525252525255,0.9949494949494948,0.005050505050505051,0.5378787878787878,391,data_inferred
16,Sand King,0.0013679890560875513,0.6142270861833106,0.3816689466484268,0.0013679890560875513,0.0013679890560875513,0.997264021887825,0.0027359781121751026,0.38577291381668943,726,data_inferred
17,Storm Spirit,0.0125,0.9848214285714286,0.0008928571428571428,0.0008928571428571428,0.0008928571428571428,0.9982142857142857,0.0017857142857142857,0.015178571428571375,1115,data_inferred
18,Sven,0.8857758620689655,0.0021551724137931034,0.010775862068965518,0.017241379310344827,0.08405172413793104,0.8987068965517242,0.10129310344827586,0.11422413793103448,459,data_inferred
19,Tiny,0.2200743494423792,0.44609665427509293,0.020817843866171002,0.29070631970260224,0.022304832713754646,0.6869888475836432,0.3130111524163569,0.5539033457249071,1340,data_inferred
20,Vengeful Spirit,0.07547169811320754,0.09433962264150944,0.4339622641509434,0.1320754716981132,0.2641509433962264,0.6037735849056605,0.39622641509433965,0.5660377358490566,48,data_inferred
21,Windranger,0.43333333333333335,0.06349206349206349,0.006349206349206349,0.44603174603174606,0.050793650793650794,0.5031746031746032,0.49682539682539684,0.553968253968254,625,data_inferred
22,Zeus,0.05,0.2785714285714286,0.007142857142857143,0.35,0.3142857142857143,0.3357142857142857,0.6642857142857143,0.65,135,data_inferred
23,Kunkka,0.1394736842105263,0.4421052631578947,0.4131578947368421,0.002631578947368421,0.002631578947368421,0.9947368421052631,0.005263157894736842,0.5578947368421052,375,data_inferred
25,Lina,0.2950191570881226,0.6743295019157088,0.0038314176245210726,0.022988505747126436,0.0038314176245210726,0.9731800766283525,0.02681992337164751,0.32567049808429116,256,data_inferred
26,Lion,0.004739336492890996,0.002369668246445498,0.002369668246445498,0.7796208530805687,0.2109004739336493,0.009478672985781991,0.990521327014218,0.22037914691943128,417,data_inferred
27,Shadow Shaman,0.0012048192771084338,0.0012048192771084338,0.0012048192771084338,0.7855421686746988,0.21084337349397592,0.0036144578313253017,0.9963855421686747,0.21445783132530116,825,data_inferred
28,Slardar,0.007886435331230283,0.31545741324921134,0.668769716088328,0.006309148264984227,0.0015772870662460567,0.9921135646687697,0.007886435331230283,0.331230283911672,629,data_inferred
29,Tidehunter,0.032357473035439135,0.009244992295839754,0.9522342064714946,0.0030816640986132513,0.0030816640986132513,0.9938366718027735,0.0061633281972265025,0.04776579352850541,644,data_inferred
30,Witch Doctor,0.02531645569620253,0.012658227848101266,0.012658227848101266,0.13924050632911392,0.810126582278481,0.05063291139240506,0.9493670886075949,0.189873417721519,74,data_inferred
31,Lich,0.004048582995951417,0.004048582995951417,0.004048582995951417,0.05668016194331984,0.9311740890688259,0.012145748987854251,0.9878542510121457,0.06882591093117407,242,data_inferred
32,Riki,0.033783783783783786,0.1891891891891892,0.006756756756756757,0.581081081081081,0.1891891891891892,0.22972972972972971,0.7702702702702702,0.41891891891891897,143,data_inferred
33,Enigma,0.002688172043010753,0.02956989247311828,0.9059139784946236,0.03494623655913978,0.026881720430107527,0.9381720430107526,0.06182795698924731,0.09408602150537637,367,data_inferred
34,Tinker,0.020833333333333332,0.3177083333333333,0.010416666666666666,0.234375,0.4166666666666667,0.3489583333333333,0.6510416666666667,0.5833333333333333,187,data_inferred
35,Sniper,0.023166023166023165,0.8725868725868726,0.003861003861003861,0.08108108108108109,0.019305019305019305,0.8996138996138996,0.1003861003861004,0.12741312741312738,254,data_inferred
36,Necrophos,0.22,0.34,0.4,0.02,0.02,0.9600000000000001,0.04,0.6,45,data_inferred
37,Warlock,0.000970873786407767,0.000970873786407767,0.000970873786407767,0.16019417475728157,0.8368932038834952,0.002912621359223301,0.9970873786407768,0.1631067961165048,1025,data_inferred
38,Beastmaster,0.09420289855072464,0.276268115942029,0.6277173913043478,0.0009057971014492754,0.0009057971014492754,0.9981884057971014,0.0018115942028985507,0.3722826086956522,1099,data_inferred
39,Queen of Pain,0.05459387483355526,0.9081225033288948,0.03195739014647137,0.002663115845539281,0.002663115845539281,0.9946737683089214,0.005326231691078562,0.09187749667110523,746,data_inferred
40,Venomancer,0.027522935779816515,0.10091743119266056,0.0963302752293578,0.25229357798165136,0.5229357798165137,0.22477064220183487,0.775229357798165,0.47706422018348627,213,data_inferred
41,Faceless Void,0.7531380753138075,0.016736401673640166,0.02510460251046025,0.17573221757322174,0.029288702928870293,0.7949790794979079,0.20502092050209203,0.2468619246861925,234,data_inferred
42,Wraith King,0.6862745098039216,0.0196078431372549,0.2549019607843137,0.0196078431372549,0.0196078431372549,0.9607843137254902,0.0392156862745098,0.3137254901960784,46,data_inferred
43,Death Prophet,0.011363636363636364,0.5454545454545454,0.32954545454545453,0.028409090909090908,0.08522727272727272,0.8863636363636362,0.11363636363636363,0.4545454545454546,171,data_inferred
44,Phantom Assassin,0.9881656804733728,0.0029585798816568047,0.0029585798816568047,0.0029585798816568047,0.0029585798816568047,0.9940828402366865,0.005917159763313609,0.011834319526627168,333,data_inferred
45,Pugna,0.004658385093167702,0.0015527950310559005,0.0015527950310559005,0.2453416149068323,0.7468944099378882,0.007763975155279502,0.9922360248447205,0.25310559006211175,639,data_inferred
46,Templar Assassin,0.8888888888888888,0.10533910533910534,0.001443001443001443,0.002886002886002886,0.001443001443001443,0.9956709956709956,0.004329004329004329,0.11111111111111116,688,data_inferred
47,Viper,0.05555555555555555,0.7058823529411765,0.22875816993464052,0.006535947712418301,0.0032679738562091504,0.9901960784313726,0.00980392156862745,0.2941176470588235,301,data_inferred
48,Luna,0.9818181818181818,0.0036363636363636364,0.0036363636363636364,0.007272727272727273,0.0036363636363636364,0.9890909090909091,0.01090909090909091,0.018181818181818188,270,data_inferred
49,Dragon Knight,0.527643064985451,0.4422890397672163,0.028128031037827354,0.0009699321047526673,0.0009699321047526673,0.9980601357904946,0.0019398642095053346,0.472356935014549,1026,data_inferred
50,Dazzle,0.0056179775280898875,0.06741573033707865,0.17415730337078653,0.0449438202247191,0.7078651685393258,0.24719101123595505,0.7528089887640449,0.2921348314606742,351,data_inferred
